,text_number,screen_number,sentence_number,w_in_sent_id,w_in_screen_id,deps,n_rights,n_lefts,dep_distance,word_length,surprisal_gpt,contains_punctuation,lex_freq_unk,lex_freq,PoS-Tag
7231,13,5,6,4,97,sb,0,1,2,8,4.0022149085998535,FALSE,FALSE,46.00934459,nn
7232,13,5,6,5,98,pd,2,0,-5,5,11.846078872680664,TRUE,FALSE,142.5161521,adjd
7233,13,5,6,6,99,cd,1,0,2,4,7.223180770874023,FALSE,FALSE,3054.511991,kon
7234,13,5,6,7,100,mo,0,0,-1,4,4.622898578643799,FALSE,FALSE,4062.311204,adv
7235,13,5,6,8,101,cj,0,1,2,6,1.2144286632537842,FALSE,FALSE,105.6220206,adjd
7236,13,5,6,9,102,oc,0,1,8,5,3.585404634475708,TRUE,FALSE,17044.4184,vainf
7237,14,1,1,1,1,mo,1,0,-2,4,7.839468955993652,FALSE,FALSE,770.8200235,appr
7238,14,1,1,2,2,nk,0,0,1,7,6.434819221496582,FALSE,FALSE,41.03889656,nn
7239,14,1,1,3,3,ROOT,5,1,0,4,4.846597671508789,FALSE,FALSE,1356.409107,vvfin
7240,14,1,1,4,4,ep,0,0,1,2,0.033234190195798874,FALSE,FALSE,7209.667567,pper
7241,14,1,1,5,5,nk,0,0,-2,5,0.9144632816314697,FALSE,FALSE,1610.000057,piat
7242,14,1,1,6,6,nk,0,0,-1,16,11.858444213867188,FALSE,FALSE,1.504214535,adja
7243,14,1,1,7,7,oa,0,2,4,12,6.095662593841553,TRUE,FALSE,263.270244,nn
7244,14,1,1,8,8,cd,1,0,6,4,0.4662289321422577,FALSE,FALSE,854.5900579,kon
7245,14,1,1,9,9,sb,0,0,-1,7,3.716813325881958,FALSE,FALSE,41.03889656,nn
7246,14,1,1,10,10,cj,2,1,2,6,2.3788492679595947,FALSE,FALSE,493.5949196,vvfin
7247,14,1,1,11,11,nk,0,0,-1,3,3.98884654,FALSE,FALSE,80100.30691,art
7248,14,1,1,12,12,oa,1,1,2,9,2.3338189125061035,FALSE,FALSE,119.0128,nn
7249,14,1,1,13,13,nk,0,0,-1,7,5.615747928619385,FALSE,FALSE,1021.467945,pposat
7250,14,1,1,14,14,ag,0,1,2,7,1.8089780807495117,FALSE,FALSE,12.94932513,nn
7251,14,1,1,15,15,svp,0,0,5,4,0.34364309906959534,TRUE,FALSE,61.87717292,ptkvz
7252,14,1,2,1,16,mo,1,0,-3,3,4.429398536682129,FALSE,FALSE,6727.329731,appr
7253,14,1,2,2,17,nk,0,0,-1,5,5.616947650909424,FALSE,FALSE,3655.355772,pposat
7254,14,1,2,3,18,nk,0,1,2,5,3.5005269050598145,FALSE,FALSE,110.8213709,nn
7255,14,1,2,4,19,ROOT,3,1,0,6,4.891915321350098,FALSE,FALSE,1147.871017,vvfin
